issn,journal,impact_factor,jcr_quartile,cas_partition
2052-7764,European Journal of Economics and Economic Policies-Intervention,1.4,Q3,4区
,European Journal of Economics and Economic Policies-Intervention,1.4,Q3,4区
1888-8992,European Journal of Education and Psychology,1.8,Q3,4区
,European Journal of Education and Psychology,1.8,Q3,4区
0141-8211,European Journal of Education,3.6,Q1,2区
,European Journal of Education,3.6,Q1,2区
0969-9546,European Journal of Emergency Medicine,4.2,Q1,3区
,European Journal of Emergency Medicine,4.2,Q1,3区
0804-4643,EUROPEAN JOURNAL OF ENDOCRINOLOGY,5.2,Q1,2区
,EUROPEAN JOURNAL OF ENDOCRINOLOGY,5.2,Q1,2区
0304-3797,European Journal of Engineering Education,2.8,Q1,4区
,European Journal of Engineering Education,2.8,Q1,4区
1382-5577,European Journal of English Studies,0.4,Q3,3区
,European Journal of English Studies,0.4,Q3,3区
1802-8829,EUROPEAN JOURNAL OF ENTOMOLOGY,,,4区
,EUROPEAN JOURNAL OF ENTOMOLOGY,1.2,Q3,4区
1964-8189,European Journal of Environmental and Civil Engineering,2.3,Q2,4区
,European Journal of Environmental and Civil Engineering,2.3,Q2,4区
1805-0174,European Journal of Environmental Sciences,1,Q4,4区
,European Journal of Environmental Sciences,1,Q4,4区
0393-2990,EUROPEAN JOURNAL OF EPIDEMIOLOGY,5.9,Q1,2区
,EUROPEAN JOURNAL OF EPIDEMIOLOGY,5.9,Q1,2区
1351-847X,European Journal of Finance,2.3,Q2,4区
,European Journal of Finance,2.3,Q2,4区
1612-4669,EUROPEAN JOURNAL OF FOREST RESEARCH,2.7,Q1,2区
,EUROPEAN JOURNAL OF FOREST RESEARCH,2.7,Q1,2区
2195-4194,European Journal of Futures Research,3.7,Q1,2区
,European Journal of Futures Research,3.7,Q1,2区
0954-691X,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,1.8,Q3,4区
,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,1.8,Q3,4区
1381-4788,European Journal of General Practice,2.5,Q1,3区
,European Journal of General Practice,2.5,Q1,3区
2687-2625,European Journal of Geriatrics and Gerontology,0.2,Q4,4区
,European Journal of Geriatrics and Gerontology,0.2,Q4,4区
0392-2936,EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,0.5,Q4,4区
,EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,0.5,Q4,4区
0902-4441,EUROPEAN JOURNAL OF HAEMATOLOGY,2.3,Q2,4区
,EUROPEAN JOURNAL OF HAEMATOLOGY,2.3,Q2,4区
1618-7598,European Journal of Health Economics,3,Q1,3区
,European Journal of Health Economics,3,Q1,3区
0929-0273,EUROPEAN JOURNAL OF HEALTH LAW,,,4区
,EUROPEAN JOURNAL OF HEALTH LAW,,,4区
2512-8442,European Journal of Health Psychology,1.3,Q3,4区
,European Journal of Health Psychology,1.3,Q3,4区
1388-9842,EUROPEAN JOURNAL OF HEART FAILURE,10.8,Q1,1区
,EUROPEAN JOURNAL OF HEART FAILURE,10.8,Q1,1区
2156-8235,European Journal of Higher Education,3.2,Q1,2区
,European Journal of Higher Education,3.2,Q1,2区
1121-760X,EUROPEAN JOURNAL OF HISTOCHEMISTRY,2.1,Q4,4区
,EUROPEAN JOURNAL OF HISTOCHEMISTRY,2.1,Q4,4区
1611-4426,EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,0.6,Q4,4区
,EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,0.6,Q4,4区
2047-9956,European Journal of Hospital Pharmacy,1.5,Q4,4区
,European Journal of Hospital Pharmacy,1.5,Q4,4区
1018-4813,EUROPEAN JOURNAL OF HUMAN GENETICS,4.6,Q1,2区
,EUROPEAN JOURNAL OF HUMAN GENETICS,4.6,Q1,2区
2386-4095,European Journal of Human Movement,,,4区
,European Journal of Human Movement,,,4区
2510-3636,European Journal of Hybrid Imaging,,,4区
,European Journal of Hybrid Imaging,1.2,Q4,4区
0014-2980,EUROPEAN JOURNAL OF IMMUNOLOGY,3.7,Q2,3区
,EUROPEAN JOURNAL OF IMMUNOLOGY,3.7,Q2,3区
1751-5254,European Journal of Industrial Engineering,1.4,Q4,4区
,European Journal of Industrial Engineering,1.4,Q4,4区
0959-6801,EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,2,Q2,3区
,EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,2,Q2,3区
1721-727X,European Journal of Inflammation,,,4区
,European Journal of Inflammation,,,4区
0960-085X,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,8.6,Q1,2区
,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,8.6,Q1,2区
1460-1060,European Journal of Innovation Management,5.7,Q1,3区
,European Journal of Innovation Management,5.7,Q1,3区
1434-1948,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,2,Q3,4区
,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,2,Q3,4区
1876-3820,European Journal of Integrative Medicine,1.7,Q3,4区
,European Journal of Integrative Medicine,1.7,Q3,4区
0953-6205,European Journal of Internal Medicine,6.1,Q1,2区
,European Journal of Internal Medicine,6.1,Q1,2区
0938-5428,European Journal of International Law,2.4,Q1,2区
,European Journal of International Law,2.4,Q1,2区
1751-6757,European Journal of International Management,0.9,Q4,4区
,European Journal of International Management,0.9,Q4,4区
1354-0661,EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,2.9,Q1,1区
,EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,2.9,Q1,1区
2057-5637,European Journal of International Security,2.5,Q1,1区
,European Journal of International Security,2.5,Q1,1区
2254-9625,European Journal of Investigation in Health Psychology and Education,,,3区
,European Journal of Investigation in Health Psychology and Education,2.6,Q2,3区
1025-9996,European Journal of Jewish Studies,0.3,Q2,3区
,European Journal of Jewish Studies,0.3,Q2,3区
2631-4134,European Journal of Korean Studies,0.1,,4区
,European Journal of Korean Studies,0.1,,4区
0929-1261,European Journal of Law and Economics,1.1,Q2,4区
,European Journal of Law and Economics,1.1,Q2,4区
1973-2937,European Journal of Legal Studies,,,4区
,European Journal of Legal Studies,0.9,Q2,4区
1438-7697,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,,,4区
,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,1.8,Q3,4区
2444-8451,European Journal of Management and Business Economics,3.7,Q1,3区
,European Journal of Management and Business Economics,3.7,Q1,3区
0309-0566,EUROPEAN JOURNAL OF MARKETING,5.1,Q1,3区
,EUROPEAN JOURNAL OF MARKETING,5.1,Q1,3区
1469-0667,EUROPEAN JOURNAL OF MASS SPECTROMETRY,,,4区
,EUROPEAN JOURNAL OF MASS SPECTROMETRY,,,4区
2199-675X,European Journal of Mathematics,0.5,Q3,4区
,European Journal of Mathematics,0.5,Q3,4区
0997-7538,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,4.2,Q1,2区
,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,4.2,Q1,2区
0997-7546,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,2.5,Q2,3区
,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,2.5,Q2,3区
1339-4940,European Journal of Media Art and Photography,0.2,,3区
,European Journal of Media Art and Photography,0.2,,3区
1769-7212,European Journal of Medical Genetics,1.7,Q3,4区
,European Journal of Medical Genetics,1.7,Q3,4区
0949-2321,EUROPEAN JOURNAL OF MEDICAL RESEARCH,3.4,Q2,3区
,EUROPEAN JOURNAL OF MEDICAL RESEARCH,3.4,Q2,3区
2772-4174,European Journal of Medicinal Chemistry Reports,4.1,Q2,3区
,European Journal of Medicinal Chemistry Reports,4.1,Q2,3区
0223-5234,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,5.9,Q1,2区
,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,5.9,Q1,2区
1788-4934,European Journal of Mental Health,0.6,Q4,4区
,European Journal of Mental Health,0.6,Q4,4区
2062-8633,European Journal of Microbiology and Immunology,2.6,Q3,3区
,European Journal of Microbiology and Immunology,2.6,Q3,3区
2585-2906,European Journal of Midwifery,1.7,Q2,4区
,European Journal of Midwifery,1.7,Q2,4区
1388-364X,EUROPEAN JOURNAL OF MIGRATION AND LAW,2,Q1,2区
,EUROPEAN JOURNAL OF MIGRATION AND LAW,2,Q1,2区
0935-1221,EUROPEAN JOURNAL OF MINERALOGY,1.7,Q2,3区
,EUROPEAN JOURNAL OF MINERALOGY,1.7,Q2,3区
1351-5101,EUROPEAN JOURNAL OF NEUROLOGY,3.9,Q1,2区
,EUROPEAN JOURNAL OF NEUROLOGY,3.9,Q1,2区
0953-816X,EUROPEAN JOURNAL OF NEUROSCIENCE,2.4,Q3,4区
,EUROPEAN JOURNAL OF NEUROSCIENCE,2.4,Q3,4区
1619-7070,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,7.6,Q1,1区
,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,7.6,Q1,1区
1436-6207,EUROPEAN JOURNAL OF NUTRITION,4.3,Q1,2区
,EUROPEAN JOURNAL OF NUTRITION,4.3,Q1,2区
2590-1613,European Journal of Obstetrics & Gynecology and Reproductive Biology-X,1.7,Q3,4区
,European Journal of Obstetrics & Gynecology and Reproductive Biology-X,1.7,Q3,4区
0301-2115,European Journal of Obstetrics & Gynecology and Reproductive Biology,1.9,Q2,3区
,European Journal of Obstetrics & Gynecology and Reproductive Biology,1.9,Q2,3区
1462-3889,European Journal of Oncology Nursing,2.7,Q1,3区
,European Journal of Oncology Nursing,2.7,Q1,3区
0377-2217,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,6,Q1,2区
,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,6,Q1,2区
1120-6721,EUROPEAN JOURNAL OF OPHTHALMOLOGY,1.4,Q3,4区
,EUROPEAN JOURNAL OF OPHTHALMOLOGY,1.4,Q3,4区
0909-8836,EUROPEAN JOURNAL OF ORAL SCIENCES,1.8,Q3,4区
,EUROPEAN JOURNAL OF ORAL SCIENCES,1.8,Q3,4区
1434-193X,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,2.7,Q2,4区
,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,2.7,Q2,4区
0141-5387,EUROPEAN JOURNAL OF ORTHODONTICS,2.7,Q1,2区
,EUROPEAN JOURNAL OF ORTHODONTICS,2.7,Q1,2区
1633-8065,European Journal of Orthopaedic Surgery and Traumatology,1.5,Q3,4区
,European Journal of Orthopaedic Surgery and Traumatology,1.5,Q3,4区
1591-996X,European Journal of Paediatric Dentistry,2.7,Q1,2区
,European Journal of Paediatric Dentistry,2.7,Q1,2区
1090-3798,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,2.3,Q2,3区
,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,2.3,Q2,3区
1090-3801,EUROPEAN JOURNAL OF PAIN,3.4,Q1,2区
,EUROPEAN JOURNAL OF PAIN,3.4,Q1,2区
2194-7619,European Journal of Pediatric Surgery Reports,,,4区
,European Journal of Pediatric Surgery Reports,,,4区
0939-7248,EUROPEAN JOURNAL OF PEDIATRIC SURGERY,1.4,Q3,4区
,EUROPEAN JOURNAL OF PEDIATRIC SURGERY,1.4,Q3,4区
0340-6199,EUROPEAN JOURNAL OF PEDIATRICS,2.6,Q1,3区
,EUROPEAN JOURNAL OF PEDIATRICS,2.6,Q1,3区
0890-2070,EUROPEAN JOURNAL OF PERSONALITY,3.7,Q1,1区
,EUROPEAN JOURNAL OF PERSONALITY,3.7,Q1,1区
0928-0987,EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,4.7,Q1,3区
,EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,4.7,Q1,3区
0939-6411,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,4.3,Q1,3区
,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,4.3,Q1,3区
0014-2999,European Journal of Pharmacology,4.7,Q1,3区
,European Journal of Pharmacology,4.7,Q1,3区
0966-8373,EUROPEAN JOURNAL OF PHILOSOPHY,0.9,,2区
,EUROPEAN JOURNAL OF PHILOSOPHY,0.9,,2区
0967-0262,EUROPEAN JOURNAL OF PHYCOLOGY,1.7,Q2,3区
,EUROPEAN JOURNAL OF PHYCOLOGY,1.7,Q2,3区
1973-9087,European Journal of Physical and Rehabilitation Medicine,3.4,Q1,3区
,European Journal of Physical and Rehabilitation Medicine,3.4,Q1,3区
0143-0807,EUROPEAN JOURNAL OF PHYSICS,,,4区
,EUROPEAN JOURNAL OF PHYSICS,,,4区
2167-9169,European Journal of Physiotherapy,1.1,Q3,4区
,European Journal of Physiotherapy,1.1,Q3,4区
0929-1873,EUROPEAN JOURNAL OF PLANT PATHOLOGY,1.9,Q2,4区
,EUROPEAN JOURNAL OF PLANT PATHOLOGY,1.9,Q2,4区
0930-343X,EUROPEAN JOURNAL OF PLASTIC SURGERY,,,4区
,EUROPEAN JOURNAL OF PLASTIC SURGERY,,,4区
0176-2680,European Journal of Political Economy,2.4,Q1,2区
,European Journal of Political Economy,2.4,Q1,2区
0304-4130,EUROPEAN JOURNAL OF POLITICAL RESEARCH,4.2,Q1,1区
,EUROPEAN JOURNAL OF POLITICAL RESEARCH,4.2,Q1,1区
1474-8851,European Journal of Political Theory,1.6,Q2,2区
,European Journal of Political Theory,1.6,Q2,2区
2515-1088,European Journal of Politics and Gender,2.2,Q1,2区
,European Journal of Politics and Gender,2.2,Q1,2区
0168-6577,European Journal of Population-Revue Europeenne de Demographie,2.6,Q1,2区
,European Journal of Population-Revue Europeenne de Demographie,2.6,Q1,2区
2036-4091,European Journal of Pragmatism and American Philosophy,0.5,,4区
,European Journal of Pragmatism and American Philosophy,0.5,,4区
2047-4873,European Journal of Preventive Cardiology,7.5,Q1,1区
,European Journal of Preventive Cardiology,7.5,Q1,1区
2066-2203,European Journal of Probation,,,4区
,European Journal of Probation,,,4区
0965-7452,European Journal of Prosthodontics and Restorative Dentistry,1.2,Q3,4区
,European Journal of Prosthodontics and Restorative Dentistry,1.2,Q3,4区
0932-4739,EUROPEAN JOURNAL OF PROTISTOLOGY,1.6,Q4,3区
,EUROPEAN JOURNAL OF PROTISTOLOGY,1.6,Q4,3区
0213-6163,EUROPEAN JOURNAL OF PSYCHIATRY,1.5,Q3,4区
,EUROPEAN JOURNAL OF PSYCHIATRY,1.5,Q3,4区
1015-5759,EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,4.1,Q1,3区
,EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,4.1,Q1,3区
1889-1861,European Journal of Psychology Applied to Legal Context,5.5,Q1,1区
,European Journal of Psychology Applied to Legal Context,5.5,Q1,1区
0256-2928,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,2.8,Q2,3区
,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,2.8,Q2,3区
2673-8627,European Journal of Psychology Open,0.9,Q3,4区
,European Journal of Psychology Open,0.9,Q3,4区
1364-2537,European Journal of Psychotherapy & Counselling,0.6,Q4,4区
,European Journal of Psychotherapy & Counselling,0.6,Q4,4区
2000-8198,European Journal of Psychotraumatology,4.1,Q1,2区
,European Journal of Psychotraumatology,4.1,Q1,2区
1101-1262,EUROPEAN JOURNAL OF PUBLIC HEALTH,3.9,Q1,3区
,EUROPEAN JOURNAL OF PUBLIC HEALTH,3.9,Q1,3区
1307-5543,European Journal of Pure and Applied Mathematics,1,Q2,4区
,European Journal of Pure and Applied Mathematics,1,Q2,4区
2352-0477,European Journal of Radiology Open,,,4区
,European Journal of Radiology Open,2.9,Q2,4区
0720-048X,EUROPEAN JOURNAL OF RADIOLOGY,3.3,Q1,2区
,EUROPEAN JOURNAL OF RADIOLOGY,3.3,Q1,2区
2279-7254,European Journal of Remote Sensing,,,3区
,European Journal of Remote Sensing,3.7,Q2,3区
2147-9720,European Journal of Rheumatology,1.8,Q3,4区
,European Journal of Rheumatology,1.8,Q3,4区
1867-299X,European Journal of Risk Regulation,2.3,Q1,4区
,European Journal of Risk Regulation,2.3,Q1,4区
2191-9399,European Journal of Scandinavian Studies,<0.1,,4区
,European Journal of Scandinavian Studies,<0.1,,4区
1841-0464,European Journal of Science and Theology,0.3,,4区
,European Journal of Science and Theology,0.3,,4区
0046-2772,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,2.7,Q2,2区
,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,2.7,Q2,2区
1388-2627,European Journal of Social Security,1.7,Q3,4区
,European Journal of Social Security,1.7,Q3,4区
1368-4310,European Journal of Social Theory,1.4,Q2,2区
,European Journal of Social Theory,1.4,Q2,2区
1369-1457,European Journal of Social Work,1.6,Q2,3区
,European Journal of Social Work,1.6,Q2,3区
1164-5563,EUROPEAN JOURNAL OF SOIL BIOLOGY,3.3,Q2,2区
,EUROPEAN JOURNAL OF SOIL BIOLOGY,3.3,Q2,2区
1351-0754,EUROPEAN JOURNAL OF SOIL SCIENCE,3.8,Q2,2区
,EUROPEAN JOURNAL OF SOIL SCIENCE,3.8,Q2,2区
0885-6257,European Journal of Special Needs Education,1.6,Q1,3区
,European Journal of Special Needs Education,1.6,Q1,3区
1746-1391,European Journal of Sport Science,3,Q1,3区
,European Journal of Sport Science,3,Q1,3区
2239-5938,European Journal of Sustainable Development,,,4区
,European Journal of Sustainable Development,,,4区
2118-9773,European Journal of Taxonomy,,,3区
,European Journal of Taxonomy,1.3,Q2,3区
0261-9768,European Journal of Teacher Education,3.1,Q1,2区
,European Journal of Teacher Education,3.1,Q1,2区
0967-2567,European Journal of the History of Economic Thought,,,4区
,European Journal of the History of Economic Thought,,,4区
2564-7784,European Journal of Therapeutics,0.5,Q3,4区
,European Journal of Therapeutics,0.5,Q3,4区
2182-4924,European Journal of Tourism Hospitality and Recreation,0.4,Q4,4区
,European Journal of Tourism Hospitality and Recreation,0.4,Q4,4区
1994-7658,European Journal of Tourism Research,3.9,Q1,4区
,European Journal of Tourism Research,3.9,Q1,4区
2046-9012,European Journal of Training and Development,2.8,Q2,4区
,European Journal of Training and Development,2.8,Q2,4区
2298-0997,European Journal of Transformation Studies,0.1,Q4,4区
,European Journal of Transformation Studies,0.1,Q4,4区
2037-7452,European Journal of Translational Myology,1.8,Q3,4区
,European Journal of Translational Myology,1.8,Q3,4区
1567-7133,European Journal of Transport and Infrastructure Research,,,4区
,European Journal of Transport and Infrastructure Research,,,4区
2468-7499,European Journal of Trauma & Dissociation,1.9,Q3,4区
,European Journal of Trauma & Dissociation,1.9,Q3,4区
1863-9933,European Journal of Trauma and Emergency Surgery,2.2,Q2,3区
,European Journal of Trauma and Emergency Surgery,2.2,Q2,3区
1078-5884,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,6.8,Q1,1区
,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,6.8,Q1,1区
1612-4642,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2,Q1,3区
,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2,Q1,3区
1350-5068,EUROPEAN JOURNAL OF WOMENS STUDIES,1.8,Q2,3区
,EUROPEAN JOURNAL OF WOMENS STUDIES,1.8,Q2,3区
0018-3768,European Journal of Wood and Wood Products,2.5,Q1,3区
,European Journal of Wood and Wood Products,2.5,Q1,3区
1359-432X,European Journal of Work and Organizational Psychology,3.4,Q2,2区
,European Journal of Work and Organizational Psychology,3.4,Q2,2区
0928-1371,European Journal on Criminal Policy and Research,1.8,Q2,3区
,European Journal on Criminal Policy and Research,1.8,Q2,3区
0014-3006,European Judaism-A Journal for the New Europe,0.1,,4区
,European Judaism-A Journal for the New Europe,0.1,,4区
2031-9525,European Labour Law Journal,1.9,Q1,4区
,European Labour Law Journal,1.9,Q1,4区
1351-5993,European Law Journal,2.2,Q1,3区
,European Law Journal,2.2,Q1,3区
0307-5400,European Law Review,1.2,Q2,4区
,European Law Review,1.2,Q2,4区
1084-8770,European Legacy-Toward New Paradigms,0.3,,4区
,European Legacy-Toward New Paradigms,0.3,,4区
0263-2373,European Management Journal,7.3,Q1,2区
,European Management Journal,7.3,Q1,2区
1740-4754,European Management Review,2.8,Q2,3区
,European Management Review,2.8,Q2,3区
2956-7602,European Management Studies,,,4区
,European Management Studies,,,4区
0014-3022,EUROPEAN NEUROLOGY,2.4,Q3,4区
,EUROPEAN NEUROLOGY,2.4,Q3,4区
0924-977X,EUROPEAN NEUROPSYCHOPHARMACOLOGY,6.7,Q1,2区
,EUROPEAN NEUROPSYCHOPHARMACOLOGY,6.7,Q1,2区
2630-6158,European Oral Research,1.1,Q3,4区
,European Oral Research,1.1,Q3,4区
1356-336X,European Physical Education Review,3.3,Q1,1区
,European Physical Education Review,3.3,Q1,1区
1434-6001,EUROPEAN PHYSICAL JOURNAL A,2.8,Q2,3区
,EUROPEAN PHYSICAL JOURNAL A,2.8,Q2,3区
1434-6028,EUROPEAN PHYSICAL JOURNAL B,1.7,Q3,4区
,EUROPEAN PHYSICAL JOURNAL B,1.7,Q3,4区
1434-6044,EUROPEAN PHYSICAL JOURNAL C,4.8,Q2,2区
,EUROPEAN PHYSICAL JOURNAL C,4.8,Q2,2区
1434-6060,EUROPEAN PHYSICAL JOURNAL D,1.5,Q3,4区
,EUROPEAN PHYSICAL JOURNAL D,1.5,Q3,4区
1292-8941,EUROPEAN PHYSICAL JOURNAL E,2.2,Q3,4区
,EUROPEAN PHYSICAL JOURNAL E,2.2,Q3,4区
2102-6459,European Physical Journal H,1.2,Q1,4区
,European Physical Journal H,1.2,Q1,4区
2190-5444,European Physical Journal Plus,2.9,Q2,3区
,European Physical Journal Plus,2.9,Q2,3区
1286-0042,EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS,,,4区
,EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS,,,4区
1951-6355,European Physical Journal-Special Topics,2.3,Q2,3区
,European Physical Journal-Special Topics,2.3,Q2,3区
0965-4313,EUROPEAN PLANNING STUDIES,3.2,Q1,3区
,EUROPEAN PLANNING STUDIES,3.2,Q1,3区
2380-6567,European Policy Analysis,,,2区
,European Policy Analysis,2.9,Q1,2区
1755-7739,European Political Science Review,2.5,Q1,1区
,European Political Science Review,2.5,Q1,1区
1680-4333,European Political Science,1.9,Q2,4区
,European Political Science,1.9,Q2,4区
0014-3057,EUROPEAN POLYMER JOURNAL,6.3,Q1,2区
,EUROPEAN POLYMER JOURNAL,6.3,Q1,2区
1612-9199,European Poultry Science,0.5,Q4,4区
,European Poultry Science,0.5,Q4,4区
0924-9338,EUROPEAN PSYCHIATRY,6.7,Q1,2区
,EUROPEAN PSYCHIATRY,6.7,Q1,2区
1016-9040,EUROPEAN PSYCHOLOGIST,4.2,Q1,3区
,EUROPEAN PSYCHOLOGIST,4.2,Q1,3区
1354-3725,European Public Law,0.4,Q3,4区
,European Public Law,0.4,Q3,4区
2509-9280,European Radiology Experimental,,,2区
,European Radiology Experimental,3.6,Q1,2区
0938-7994,EUROPEAN RADIOLOGY,4.7,Q1,2区
,EUROPEAN RADIOLOGY,4.7,Q1,2区
2444-8834,European Research on Management and Business Economics,6.4,Q1,2区
,European Research on Management and Business Economics,6.4,Q1,2区
0903-1936,EUROPEAN RESPIRATORY JOURNAL,21,Q1,1区
,EUROPEAN RESPIRATORY JOURNAL,21,Q1,1区
0905-9180,European Respiratory Review,10.4,Q1,1区
,European Respiratory Review,10.4,Q1,1区
1813-7253,European Review of Aging and Physical Activity,3.5,Q2,3区
,European Review of Aging and Physical Activity,3.5,Q2,3区
0165-1587,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,3.5,Q1,2区
,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,3.5,Q1,2区
1162-9088,EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,1.4,Q3,4区
,EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,1.4,Q3,4区
1361-4916,European Review of Economic History,1,Q1,2区
,European Review of Economic History,1,Q1,2区
1350-7486,European Review of History-Revue Europeenne d Histoire,0.5,Q1,2区
,European Review of History-Revue Europeenne d Histoire,0.5,Q1,2区
2196-6923,European Review of International Studies,1,Q3,4区
,European Review of International Studies,1,Q3,4区
0928-9801,European Review of Private Law,0.4,Q3,4区
,European Review of Private Law,0.4,Q3,4区
1046-3283,European Review of Social Psychology,7.8,Q1,1区
,European Review of Social Psychology,7.8,Q1,1区
1062-7987,European Review,,,4区
,European Review,,,4区
1050-9585,European Romantic Review,0.1,,3区
,European Romantic Review,0.1,,3区
0966-2839,European Security,3.6,Q1,1区
,European Security,3.6,Q1,1区
1461-6696,EUROPEAN SOCIETIES,2.2,Q1,2区
,EUROPEAN SOCIETIES,2.2,Q1,2区
0266-7215,EUROPEAN SOCIOLOGICAL REVIEW,3,Q1,1区
,EUROPEAN SOCIOLOGICAL REVIEW,3,Q1,1区
1231-1952,European Spatial Research and Policy,,,4区
,European Spatial Research and Policy,,,4区
0940-6719,EUROPEAN SPINE JOURNAL,2.7,Q2,3区
,EUROPEAN SPINE JOURNAL,2.7,Q2,3区
1618-4742,European Sport Management Quarterly,3.7,Q1,2区
,European Sport Management Quarterly,3.7,Q1,2区
2396-9873,European Stroke Journal,4.5,Q1,3区
,European Stroke Journal,4.5,Q1,3区
1682-8631,European Surgery-Acta Chirurgica Austriaca,,,4区
,European Surgery-Acta Chirurgica Austriaca,,,4区
0014-312X,EUROPEAN SURGICAL RESEARCH,1.9,Q2,4区
,EUROPEAN SURGICAL RESEARCH,1.9,Q2,4区
2235-0640,European Thyroid Journal,4.3,Q2,3区
,European Thyroid Journal,4.3,Q2,3区
1867-0717,European Transport Research Review,4.2,Q2,2区
,European Transport Research Review,4.2,Q2,2区
1825-3997,European Transport-Trasporti Europei,,,4区
,European Transport-Trasporti Europei,,,4区
1465-1165,EUROPEAN UNION POLITICS,2.2,Q2,1区
,EUROPEAN UNION POLITICS,2.2,Q2,1区
0969-7764,EUROPEAN URBAN AND REGIONAL STUDIES,2.6,Q1,2区
,EUROPEAN URBAN AND REGIONAL STUDIES,2.6,Q1,2区
2405-4569,European Urology Focus,,,2区
,European Urology Focus,5.6,Q1,2区
2588-9311,European Urology Oncology,,,1区
,European Urology Oncology,9.3,Q1,1区
2666-1691,European Urology Open Science,4.5,Q1,2区
,European Urology Open Science,4.5,Q1,2区
0302-2838,EUROPEAN UROLOGY,25.2,Q1,1区
,EUROPEAN UROLOGY,25.2,Q1,1区
2475-0263,European Zoological Journal,1.4,Q2,3区
,European Zoological Journal,1.4,Q2,3区
1841-0413,Europes Journal of Psychology,2.1,Q2,3区
,Europes Journal of Psychology,2.1,Q2,3区
2344-2255,Europolity-Continuity and Change in European Governance,0.5,Q3,4区
,Europolity-Continuity and Change in European Governance,0.5,Q3,4区
1025-496X,Eurosurveillance,7.8,Q1,2区
,Eurosurveillance,7.8,Q1,2区
0210-1564,Euskera,0.3,,4区
,Euskera,0.3,,4区
0163-2787,EVALUATION & THE HEALTH PROFESSIONS,1.6,Q3,4区
,EVALUATION & THE HEALTH PROFESSIONS,1.6,Q3,4区
0149-7189,EVALUATION AND PROGRAM PLANNING,2,Q1,4区
,EVALUATION AND PROGRAM PLANNING,2,Q1,4区
0193-841X,EVALUATION REVIEW,3.7,Q1,4区
,EVALUATION REVIEW,3.7,Q1,4区
1356-3890,Evaluation,1.6,Q2,3区
,Evaluation,1.6,Q2,3区
